,GSM949164,GSM949166,GSM949168,GSM949169,GSM949170,GSM949171,GSM949172,GSM949173,GSM949174,GSM949175,GSM949176,GSM949177,GSM949178,GSM949179,GSM949180,GSM949181,GSM949182,GSM949183
BTN3A2,7.401313,7.369102,7.563236,7.873244,6.908218,7.247583,7.857078,7.604681,8.132909,8.520487,8.504503,8.11859,7.88761,8.341701,8.140713,8.116037,7.258901,7.760201
RAN,8.820408,8.968137,9.047462,8.941303,7.653653,7.656918,7.881289,8.7485,9.214046,9.306968,9.305398,8.998238,9.365245,9.369114,9.576897,9.067004,8.659562,9.13891
EIF5AL1///EIF5A,10.30361,10.33942,10.40147,10.07519,9.087467,9.340944,9.432984,9.789737,10.33843,10.73625,10.84728,10.31439,10.39201,10.61371,10.82915,10.12895,10.00104,10.59707
PIGK,6.844748,7.04687,7.100605,6.955756,5.966166,6.220574,6.363434,6.21821,6.911221,7.581808,7.245258,6.988748,7.014946,7.516255,7.48805,7.189501,6.649986,7.16689
HLA-DRB5,7.659427,7.760016,7.246796,7.664546,7.485206,7.531842,7.721915,7.629551,7.597831,9.547055,9.395973,8.528771,7.954212,7.544913,9.26375,8.117668,7.909986,8.827055
YWHAE,10.84841,11.03839,11.03556,10.84521,9.237703,9.383222,9.689903,10.52278,10.73475,11.39748,11.13112,10.90778,11.09998,11.40926,11.40635,11.15159,10.94492,11.25048
SNORD115-48,4.512315,4.273129,4.0122,3.745385,5.606814,5.705686,5.765637,4.363498,3.946406,3.817496,3.819878,3.602444,3.936814,3.738181,3.645789,4.103315,4.403524,3.85086
PDIA3P1///PDIA3,10.00165,9.934753,10.31082,9.957343,8.175968,8.874632,9.705022,9.966871,10.29214,10.59413,10.88539,10.04582,10.14542,10.68108,10.72374,10.24785,9.988285,10.26198
PLS3,9.341151,9.464213,9.501961,9.509086,8.249224,8.425797,8.889342,8.853153,9.365645,9.847147,9.71594,9.547713,9.43881,9.832084,9.680476,9.626819,9.22345,9.462238
TBCA,8.273619,9.065354,8.667498,8.66548,7.266899,7.568503,7.297291,8.204016,8.850862,8.580318,8.475363,8.902329,9.12626,8.735557,8.756562,9.290522,8.524693,8.924224
RRN3P1///RRN3P2///RRN3,3.749408,3.01931,4.590106,4.358437,4.030943,4.893133,5.497623,3.786985,2.753798,2.903676,3.269806,2.713202,4.450949,2.863458,4.239298,2.910374,3.502968,3.329173
SNORD45A,8.029029,8.389845,8.701989,8.328856,5.711909,6.475665,6.280505,8.147244,8.229612,9.216066,9.129442,9.195598,9.058242,8.441989,8.923376,8.987167,7.59179,8.215681
LOC728323///FBXO25,7.453761,7.779439,8.432172,7.585599,4.953617,4.720154,2.759404,7.081071,7.992021,8.45499,8.187614,8.16657,8.524587,8.345092,8.386199,8.770247,6.771564,8.285425
TOMM22,7.986254,8.485325,8.433586,8.111564,5.402842,6.486261,6.613028,7.670434,8.320792,8.664666,8.416826,8.361771,8.762045,8.47103,8.392645,8.176172,8.050656,8.488756
POLR2K,8.593771,9.077662,9.077557,8.848258,7.895956,7.680293,7.608809,8.307965,8.784663,9.158829,8.844934,8.930082,9.119024,9.022319,9.130592,9.284757,8.500986,9.124406
PUS7L,6.609332,6.562434,6.766603,6.473211,6.283567,5.765224,6.321634,6.23954,6.632625,7.138286,7.385241,6.654001,6.915643,7.338952,7.205431,6.744513,5.903339,7.228012
ERAP2,7.474772,6.589459,6.327614,7.767768,6.266751,6.297034,6.574798,6.081147,7.700308,8.901646,8.002126,7.601239,6.24427,8.691087,8.939181,8.108352,5.942857,7.655072
IL33,6.755112,7.393131,7.279081,7.764743,6.106844,6.575102,6.894744,7.011922,7.544046,7.905493,7.653022,7.630836,7.602569,7.394123,7.791009,7.438155,6.818945,7.345857
SCFD1,7.8144,7.916687,7.927647,7.819385,6.167896,6.899871,7.174565,7.079094,7.535009,8.339033,8.030628,7.992422,7.930908,8.168503,8.354047,8.357432,7.196718,8.11645
MAPK9,8.661034,8.720142,8.63129,8.444991,7.445886,7.586334,7.635483,7.797118,8.219057,8.787907,8.555547,8.571212,8.614603,8.700809,8.87452,8.733819,8.354403,9.034603
EXOC5,5.091049,4.125292,4.070462,4.388081,5.441772,5.142885,4.744689,4.755814,4.000756,4.091111,3.885517,3.772905,3.939091,4.513195,4.344912,3.71819,5.0549,4.1084
SNORD115-32,5.62675,4.717022,4.439112,4.3378,5.799052,5.953848,5.425667,5.521461,4.450678,4.521721,4.307796,4.585043,4.745118,4.524395,4.58576,4.482615,5.489478,4.414862
FAM200B,5.539546,5.732744,5.751657,5.196738,4.628042,4.730308,5.027652,5.190926,4.96522,6.349716,5.864112,5.55116,6.045212,6.261997,5.842007,6.293442,5.088889,5.783389
NUCB2,8.430133,8.445882,8.508547,8.234465,6.887168,7.057394,8.068257,8.159161,8.583556,8.855972,9.117193,8.391327,8.537543,9.02566,8.847379,8.610643,7.72674,8.488759
ERLIN1,8.426129,8.582952,8.549895,8.245631,7.139377,7.520905,7.963759,8.075508,8.344137,8.812601,8.624641,8.220162,8.38913,8.700566,9.172445,8.89995,8.049178,8.825467
DLEU2,6.47462,7.254446,6.591193,6.709914,4.779922,6.261623,4.42634,5.96652,6.998304,7.482141,7.345646,7.001319,6.203169,6.93636,7.580508,7.3119,5.886583,7.141781
SLU7,7.852719,7.95508,8.161604,7.84219,6.98637,6.776656,7.38412,7.668235,7.647809,8.549285,7.907859,7.762229,8.23418,8.217928,8.355577,8.068047,7.678165,8.379313
COPS2,9.356748,9.536493,9.584165,9.125657,7.796179,8.416069,8.099207,9.095836,8.923685,10.07112,9.365957,9.180227,9.483411,9.828801,9.743423,9.586078,8.899277,9.846723
LYPLAL1,6.829549,7.205909,7.343553,6.570992,6.284469,6.166672,5.342038,6.389566,6.509119,7.372909,6.998897,6.956299,7.085106,7.306877,7.427594,7.658756,6.473718,7.190985
EMCN,7.84088,8.433311,8.194802,9.168094,7.783806,7.663314,7.618745,7.821465,8.742142,9.343618,8.927433,9.175754,8.258052,8.755157,8.785987,8.752645,7.548521,8.273677
FAM198B,8.976975,8.77668,8.188598,9.452472,8.544713,7.36543,8.432404,7.882525,8.966163,9.408761,8.812427,8.734442,8.675551,9.093741,9.245001,8.988233,8.817333,9.078967
HIGD1A,8.649395,8.772413,8.470388,8.542711,7.630738,7.015266,7.700421,7.857538,7.984456,9.175746,8.22541,8.492856,8.407343,8.851999,9.093276,8.926231,8.394264,9.078165
PCMTD1,10.10262,10.17112,10.15917,9.948528,8.936616,8.451779,8.409263,9.63951,9.642744,10.55726,10.00444,9.874958,9.840906,10.16847,10.29991,10.27148,9.882286,10.38383
LOC100128233,5.215646,4.843991,4.497576,4.849651,6.527161,6.242416,5.476528,5.49212,4.851059,4.768734,4.6132,5.32382,4.543569,4.566283,4.732102,5.194571,5.084714,4.545522
RAP1B,9.622529,9.7005,9.735917,9.681648,7.91608,7.521527,8.57588,8.922196,9.485408,9.79847,9.634613,9.626848,9.335118,9.75662,10.26182,9.795173,8.959647,9.802838
RAB18,9.434749,9.671821,9.757887,9.322359,8.023096,8.356168,8.434011,8.926828,9.028051,10.10756,9.669033,9.410063,9.366165,9.80213,9.871053,9.580182,8.939591,9.724463
ZNF845,7.931763,7.079179,7.736512,6.784483,6.441865,6.236518,6.573542,7.564527,6.952775,7.631501,7.512428,7.328534,7.727784,7.697816,8.013527,8.227389,7.273777,7.462296
RAP1A,8.726761,8.848207,8.730053,8.650887,8.394925,7.038844,7.694883,7.621537,8.63687,8.870875,8.670971,8.767157,8.808294,8.988303,9.120106,8.833549,7.832251,9.044236
TRAPPC6B,7.828537,8.056131,8.041536,7.794912,6.53549,6.651126,7.271924,7.243473,7.554848,8.440716,8.161614,7.801985,7.692332,8.142565,8.28489,7.894452,7.261827,8.067926
TMEM106B,8.126275,8.633986,8.279015,8.004822,6.160878,7.037236,7.357549,7.851936,7.8715,8.65595,8.446741,8.093479,8.158904,8.437011,8.808414,8.203969,7.598281,8.615678
MYL12B///MYL12A,10.48847,10.05938,10.24308,10.17202,7.988911,7.711008,8.700604,10.24542,9.917676,10.28904,10.16235,10.1488,10.11921,10.14929,10.39082,10.24337,10.44383,10.19402
HLA-DRB1///HLA-DQB1,6.820608,7.114718,6.629534,7.189682,6.572146,6.656548,7.940885,6.628301,6.936108,8.439878,9.11882,7.578749,7.055741,7.277554,8.375433,7.296663,6.218788,8.47832
NSA2,8.65721,8.919992,9.308184,8.594896,6.516793,7.744343,7.970562,8.646105,8.615907,9.523664,9.664577,9.218681,9.055273,8.765753,9.007092,8.944853,7.790892,9.360434
LOC1720///DHFR,8.155734,8.004275,7.659995,7.61849,6.36356,6.545062,4.723058,7.247289,6.553586,8.755881,7.234334,7.948308,7.733852,7.959311,8.488503,8.305459,7.255878,8.533021
